명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
전주비빔밥축제,54894.0,전주시,063-282-5979,전북특별자치도 전주시 덕진구 기린대로 451 (덕진동1가),35.8405998309,127.1274545926,2024 전주비빔밥축제는 한국의 맛과 멋을 대표하는 음식관광문화축제이며 유네스코 음식창의도시와 글로벌 문화관광도시인 전주의 브랜딩화를 추구하는 음식의 수도 전주의 대표 음식축제이다.,전주시,063-282-5979,(사)문화상상 온,,20241003,20241006,10:00~22:00,전주종합경기장,,무료,,,,,,,,"행사소개:2024 전주비빔밥축제는 한국의 맛과 멋을 대표하는 음식관광문화축제이며 유네스코 음식창의도시와 글로벌 문화관광도시인 전주의 브랜딩화를 추구하는 음식의 수도 전주의 대표 음식축제이다.  
행사내용:1. 메인프로그램 <br>
- 대형비빔퍼포먼스, 전주음식 주제관, 전주음식테마존<br><br>

2. 부대프로그램 <br>
- 비빔퍼레이드, 비빔공연, 나만의 비빔 DIY,  메가먹방배틀, 스타쉐프 마스터클래스, 비빔오감체험, 비빔놀이<br><br>

3. 기타 프로그램 <br>
- 전주비빔 포토존, 비빔댄스UP, 전주케릭터 굿즈, 비빔장터 등 <br> <br>

*음식 및 일부 체험은 유료 
",선택안함,선택안함
한화와 함께하는 서울세계불꽃축제,7337.0,"한화그룹, SBS",02-519-9778,서울특별시 영등포구 여의동로 330 (여의도동),37.5263997727,126.9336095794,"서울세계불꽃축제는 바쁜 매일을 살아가는 시민의 일상에 즐거움을 선사하기 위해 한화그룹에서 2000년부터 사회공헌 사업으로 꾸준히 진행해 온 축제이다. 매년 세계적인 수준의 불꽃 전문 기업들이 초청되어 여의도의 밤 하늘을 무대로 환상적인 불꽃 연출을 선보이며, 주간에도 다채로운 부대행사가 진행된다. (주)한화가 자랑하는 '멀티미디어 불꽃쇼'는 불꽃과 음악, 레이저 연출이 결합된 아시아 최고 수준의 불꽃쇼이다.","한화그룹, SBS",02-519-9778,"(주) 한화,한화생명,한화손해보험,한화에어로스페이스,한화토탈에너지스,한화솔루션,한화투자증권,한화시스템,한화비전,한화임팩트,한화자산운용",,20241005,20241005,13:00~21:30,여의도 한강공원 일대,,무료 (일부 관람석 유료화),,,,,,,,"행사소개:서울세계불꽃축제는 바쁜 매일을 살아가는 시민의 일상에 즐거움을 선사하기 위해 한화그룹에서 2000년부터 사회공헌 사업으로 꾸준히 진행해 온 축제이다. 매년 세계적인 수준의 불꽃 전문 기업들이 초청되어 여의도의 밤 하늘을 무대로 환상적인 불꽃 연출을 선보이며, 주간에도 다채로운 부대행사가 진행된다. (주)한화가 자랑하는 '멀티미디어 불꽃쇼'는 불꽃과 음악, 레이저 연출이 결합된 아시아 최고 수준의 불꽃쇼이다.
행사내용:- 시민참여 프로그램<br>
- 공식행사 및 불꽃쇼
",선택안함,선택안함
강남페스티벌,6164.0,강남구,02-3423-5543,서울특별시 강남구 영동대로 513 (삼성동),37.5119175967,127.059217995,"2024 강남페스티벌은 올해로 13회째를 맞는 강남의 대표 문화축제이다. 강남의 허브인 코엑스 펼쳐지는 4일간의 콘서트와 미식여행&K-컬처존, 패션의 메카 압구정 로데오에서 펼쳐지는 패션 페스타, 강남 전역에서 펼쳐지는 전시, 버스킹, 심야영화제와 10월 3일 개최되는 국제평화마라톤까지 오직 강남에서만 즐길 수 있는 다양한 프로그램들이 준비되어 있다.",강남구,02-3423-5543,,,20240926,20240929,11:00~22:00(본공연은 요일별로 상이),"코엑스 동측광장(본공연), K-POP광장(푸드&K-컬처),강남패션페스타(압구정로데오 일대), 국제평화마라톤(봉은사로)",,무료,,,,,,,,"행사소개:2024 강남페스티벌은 올해로 13회째를 맞는 강남의 대표 문화축제이다. 강남의 허브인 코엑스 펼쳐지는 4일간의 콘서트와 미식여행&K-컬처존, 패션의 메카 압구정 로데오에서 펼쳐지는 패션 페스타, 강남 전역에서 펼쳐지는 전시, 버스킹, 심야영화제와 10월 3일 개최되는 국제평화마라톤까지 오직 강남에서만 즐길 수 있는 다양한 프로그램들이 준비되어 있다.
행사내용:1. 메인프로그램<br>
1)개막제 : 코엑스 동측광장 9.27.(금) 19:30~21:10 <br>
2)강남패션페스타: 압구정로데오거리 9.28.(토) 12:00~21:00<br>
3)오픈에어 콘서트(레트로): 코엑스 동측광장 9.28.(토) 19:00~21:50<br>
4)영동대로 K-POP콘서트 : 코엑스 동측광장 9.29.(일) 19:00~22:00<br>
5)미식여행&K-컬처존 <br>
 - 미식여행 코엑스 K-POP광장  9.26.(목)~9.29.(일) 11:00~22:00 <br>
 - K-컬처존 별마당 도서관 야외 9.26.(목)~9.29.(일) 12:00~19:00 <br><br>

2. 서브 프로그램<br>
1)페스티벌 프리쇼 : 코엑스 동측광장 9.26.(목)  [팝페라 12:00 / 헝가리 국립무용단 16:00 / 국악어울림축제18:30]<br>
2)심야 힐링극장 : 코엑스 동측광장 9.26.(목)~9.28.(토) 23:00~01:00<br>
3)나도K-POP스타 : 코엑스 동측광장 9.28.(토) 15:00~16:30<br>
4)패션전시 9.26.(목)~9.29.(일) <br>
 -코엑스 로비 : 나주시 천연염색 패션전시<br>
 -양재천 : 업사이클 패션전시<br>
 -강남역 : 강남 패피 사진전<br>
5)스트릿 퍼포먼스 : 강남 전역,  9월초 공연일정 업데이트
",선택안함,선택안함
소사복숭아축제,14732.0,소사복숭아축제 추진위원회,070-7798-1576,경기도 부천시 소사구 성주로23번길 22 (송내동),37.4816630099,126.7611737737,"부천시의 상징인 ""복숭아""를 주제로 주민이 참여하고 중심이 되는 지역축제로 참여, 소통, 나눔으로 화합하는 한여름밤의 축제이다.",소사복숭아축제 추진위원회,070-7798-1576,,,20240823,20240824,8.23 - 20:00 ~ 22:00 / 8.24 -15:00 ~ 22:00,부천여자중학교 운동장,,무료,,,,,,,,"행사소개:부천시의 상징인 ""복숭아""를 주제로 주민이 참여하고 중심이 되는 지역축제로 참여, 소통, 나눔으로 화합하는 한여름밤의 축제이다.
행사내용:1. 전야제행사 <br>
- 야외영화상영<br><br>

2. 본행사 <br>
- 청소년공연, 시민노래자랑, 주민센터프로그램공연<br><br>

3. 참여행사 <br>
- 참여행사(캐리커쳐, 페이스페인팅), 먹거리장터, 복숭아판매
",선택안함,선택안함
하동 북천 코스모스 메밀꽃 축제,52318.0,하동북천 코스모스 메밀꽃 영농조합법인,055-884-7416,경상남도 하동군 북천면 경서대로 2253-9,35.109365039,127.8741465725,"메밀,코스모스 등 경관보전직불제 사업과 연계하여 농촌경관을 활용하고 농촌체험관광형 축제를 육성하기 위하여 시작된 행사로 농촌 부가가치 제고 및 지역경제 활성화에 크게 기여하고 있다. 매년 관광객들이 메밀꽃과 코스모스의 환상적인 향연속으로 찾아오는 인원이 증가하고 있으며, 소외된 지역의 경제 활성화와 마을주민 공동체 의식 함양 및 소득 증대에 대한 자신감 부여하는 좋은 효과를 가져오고 있다.",하동북천 코스모스 메밀꽃 영농조합법인,055-884-7416,하동북천코스모스메밀꽃 영농조합법인,055-884-7416,20240913,20240929,09:00~18:00,하동북천코스모스메밀꽃 영농조합법인,,"2,000원(초등학생 이하 무료)",,,,,,,,"행사소개:메밀,코스모스 등 경관보전직불제 사업과 연계하여 농촌경관을 활용하고 농촌체험관광형 축제를 육성하기 위하여 시작된 행사로 농촌 부가가치 제고 및 지역경제 활성화에 크게 기여하고 있다. 매년 관광객들이 메밀꽃과 코스모스의 환상적인 향연속으로 찾아오는 인원이 증가하고 있으며, 소외된 지역의 경제 활성화와 마을주민 공동체 의식 함양 및 소득 증대에 대한 자신감 부여하는 좋은 효과를 가져오고 있다. 	
행사내용:1. 메인프로그램 : 코스모스, 메밀꽃밭 등 다양한 꽃밭<br>
2. 부대프로그램 : 개막식, 축하공연, 마당극, 어린이 사생대회 등<br>
3. 소비자 참여 프로그램 : 관광객 노래자랑, 팔씨름왕 선발대회, 농산물 직판장 등
",선택안함,선택안함
보은대추 축제,28936.0,보은군,043-540-3392,충청북도 보은군 보은읍 뱃들로 54보은읍 뱃들공원 및 속리산 일원,36.4870143909,127.7234923561,"2017년도에 이어 3회연속 충북 농특산물 판매활성화 최우수축제로 선정된 보은대추축제는, 임금님께 진상하였던 명품 보은 대추와 보은의 청정한 자연에서 자란 우수한 품질의 농특산물을 온라인장터 및 생대추 주문 콜센터를 통해 쉽게 받아볼 수 있으며, 대추 및 농특산물 판매, 개폐막식 등 공연프로그램, 다양한 체험활동 등을 즐길 수 있다.",보은군,043-540-3392,보은군축제추진위원회,,20241011,20241020,10:00~20:00,보은읍 뱃들공원 및 속리산 일원,,무료,,,,,,,,"행사소개:2017년도에 이어 3회연속 충북 농특산물 판매활성화 최우수축제로 선정된 보은대추축제는, 임금님께 진상하였던 명품 보은 대추와 보은의 청정한 자연에서 자란 우수한 품질의 농특산물을 온라인장터 및 생대추 주문 콜센터를 통해 쉽게 받아볼 수 있으며, 대추 및 농특산물 판매, 개폐막식 등 공연프로그램, 다양한 체험활동 등을 즐길 수 있다.	
행사내용:대표 프로그램<br>
- 보은대추축제 홈페이지 운영(www.boeunjujube.com)<br>
- 생대추 주문 콜센터 운영(1522-0578)<br>
- 보은대추 등 농특산물 온라인 장터(보은대추.SHOP) 운영<br>
- 개막식, 폐막행사 및 각종 공연프로그램 운영<br>
- 다양한 체험 프로그램 운영
",선택안함,선택안함
하늬팜 라벤더축제,24740.0,하늬라벤더팜 농업회사법인(주),033-681-0005,강원특별자치도 고성군 간성읍 꽃대마을길 175,38.3485066617,128.4152556855,"강원도 고성 금강산 자락의 작은 산골마을. 6월이면 언덕은 보랏빛으로 물들고 라벤더 향기 가득하다. 라벤더와 양귀비, 호밀밭이 주변풍경과 어우러지고, 빈티지한 정원과 향기가게가 이국적인 장관을 만들어 눈을 즐겁게 해준다.",하늬라벤더팜 농업회사법인(주),033-681-0005,,,20240605,20240623,9:00~19:00(18시 입장마감),하늬라벤더팜,,유료,,,,,,,,"행사소개:강원도 고성 금강산 자락의 작은 산골마을. 6월이면 언덕은 보랏빛으로 물들고 라벤더 향기 가득하다. 라벤더와 양귀비, 호밀밭이 주변풍경과 어우러지고, 빈티지한 정원과 향기가게가 이국적인 장관을 만들어 눈을 즐겁게 해준다. 

행사내용:1.라벤더필드, 플라워필드, 정원산책 <br><br>
2.향기음악회 <br><br>
3.포토콘테스트 <br><br>
4.라벤더클래스,라벤더토크 <br><br>
5.슬리퍼날리기대회 <br><br>
6.체험프로그램 <br><br>
7.라벤더아이스크림,라벤더레몬에이드<br><br>
8.식당운영하지않으며 도시락 반입금지<br><br>
9. 이용요금<br>
- 유료 성인6,000원<br>
- 경로,중고생 5,000원<br>
- 우대 3,000원<br>
- 초등생3,000원<br>
- 유아 (36개월이상) 2,000원 <br>
* 단체요금은 20인이상 정상가의 20% 할인	

",선택안함,선택안함
무창포 가을 대하 전어 대잔치,33508.0,무창포어촌계,010-7936-3504,충청남도 보령시 웅천읍 열린바다1길 10,36.244624078,126.5365524568,"신비의 바닷길과 함께 싱싱한 해산물을 마음껏 즐길 수 있는 2024 무창포 가을 대하 전어 대잔치가 대하가 한창인 2024년 09월 07일부터 2024년 10월 06일까지 웅천읍 무창포항·무창포해수욕장에서 개최된다. 무창포어촌계가(위원장 이종길) 주관으로 개최되는 대잔치는 어선에서 갓 잡아 올린 가을의 별미인 대하와 전어, 꽃게, 개불, 맛, 조개류 등 다양한 수산물을 만날 수 있다.",무창포어촌계,010-7936-3504,,,20240907,20241006,10:00~22:00,"무창포항, 무창포해수욕장",,무료,,,,,,,,"행사소개:신비의 바닷길과 함께 싱싱한 해산물을 마음껏 즐길 수 있는 2024 무창포 가을 대하 전어 대잔치가 대하가 한창인 2024년 09월 07일부터 2024년 10월 06일까지 웅천읍 무창포항·무창포해수욕장에서 개최된다. 무창포어촌계가(위원장 이종길) 주관으로 개최되는 대잔치는 어선에서 갓 잡아 올린 가을의 별미인 대하와 전어, 꽃게, 개불, 맛, 조개류 등 다양한 수산물을 만날 수 있다.
행사내용:- 맨손고기잡기체험<br>
- 관광객노래자랑<br>
- 신비의 바닷길 체험<br>
- 먹거리장터 등
",선택안함,선택안함
춘천막국수닭갈비축제,24240.0,춘천막국수닭갈비축제조직위원회,033-254-4347,강원특별자치도 춘천시 중도동357-39,37.891412995,127.7001042003,"춘천의 대표적인 축제인 춘천막국수닭갈비축제가 6월 18일부터 23일까지 레고랜드 코리아 리조트 주차장 일원에서 개최된다. 이번 축제는 18일 개막을 시작으로 멀티미디어 드론쇼, 인기가수 축하공연등 다양한 볼거리와 체험형 프로그램으로 춘천에서 즐기는 막국수, 닭갈비를 다양하게 선보인다.",춘천막국수닭갈비축제조직위원회,033-254-4347,,,20240618,20240623,10:00~21:00,레고랜드 코리아 리조트 주차장 일원,,무료,,,,,,,,"행사소개:춘천의 대표적인 축제인 춘천막국수닭갈비축제가 6월 18일부터 23일까지 레고랜드 코리아 리조트 주차장 일원에서 개최된다. 이번 축제는 18일 개막을 시작으로 멀티미디어 드론쇼, 인기가수 축하공연등 다양한 볼거리와 체험형 프로그램으로 춘천에서 즐기는 막국수, 닭갈비를 다양하게 선보인다.
행사내용:1. 관람형 프로그램 <br>
- 개/폐막식, 인기가수 축하공연, 지역 예인 공연, 드론 라이트쇼 <br> <br>

2. 참여형 프로그램  <br>
- 막국수 빨리 먹기, 닭갈비 많이 먹기, 막국수&닭갈비 100인분 나눔행사, 막국수 닭갈비 블랙데이 <br> <br>

3. 스페셜 프로그램  <br>
- 실버트롯가요제, 복면막닭쇼, 어게인 우정의 무대 <br> <br>

4. 참여형 프로그램  <br>
- 축제체험관, 국제교류관, 시정홍보관, 놀이기구, 포토존, 캠핑존, 셀프닭갈비 구이존, 푸드트럭존 등	 <br> <br>

*  막국수, 닭갈비 식당 및 식음 & 판매 부스 이용 비용 별도
",선택안함,선택안함
거문도백도은빛바다체험행사,59790.0,여수시,061-659-4743,전라남도 여수시 삼호교길 50삼산면 거문도 일원(삼호교 물양장),34.0244905368,127.309920268,"빼어난 풍광과 산해진미의 매력에 푹 빠지는 곳, 거문도에서 제22회 거문도백도은빛바다체험행사가 개최된다. 천혜의 항구가 펼쳐지는 이곳에서 거문도 해안투어, 지인망 끌기, 맨손활어잡기, 외줄낚시체험 등 가족이 함께 즐길 수 있는 체험행사가 가득하다. 갈치, 고등어 등 싱싱한 해산물 시식과 거문도 해풍쑥 체험도 가능한 이번 행사는 오는 8월 2일 ~ 3일까지 삼산면 거문리 삼호교 물양장 일원에서 개최된다.",여수시,061-659-4743,거문도백도은빛바다체험행사추진위원회,,20240802,20240803,10:00 ~ 22:00,삼산면 거문도 일원(삼호교 물양장),,무료,,,,,,,,"행사소개:빼어난 풍광과 산해진미의 매력에 푹 빠지는 곳, 거문도에서 제22회 거문도백도은빛바다체험행사가 개최된다. 천혜의 항구가 펼쳐지는 이곳에서 거문도 해안투어, 지인망 끌기, 맨손활어잡기, 외줄낚시체험 등 가족이 함께 즐길 수 있는 체험행사가 가득하다. 갈치, 고등어 등 싱싱한 해산물 시식과 거문도 해풍쑥 체험도 가능한 이번 행사는 오는 8월 2일 ~ 3일까지 삼산면 거문리 삼호교 물양장 일원에서 개최된다.
행사내용:1. 메인프로그램 : 개막식, 축하공연, 은빛가요제, 불꽃놀이 등<br>
2. 체험프로그램 : 거문도 해안 투어 및 인증샷 챌린지, 지인망끌기체험, 외줄낚시체험, 맨손활어잡기, 쑥떡메치기, 특산물 시식, 바다를 담은 만들기 체험 등<br>
3. 이벤트프로그램 : 얼음판 오래 버티기, 관광객 막춤 경연대회, 수박 빨리먹고 휘파람 불기 등  
",선택안함,선택안함
김천김밥축제,39565.0,김천시,054-420-6637,경상북도 김천시 대항면 직지사길 130,36.116903472,128.0095382081,"2024 김천김밥축제에서는 김밥과 김천을 잇는 이야기에 유쾌한 긍정적 사고로의 전환과 김밥에 대한 추억, 공감, 희망 등 따뜻한 정서를 모두 느낄 수 있다.",김천시,054-420-6637,,,20241026,20241027,10:00~17:00,사명대사공원 및 친환경생태공원 일원,,축제장 입장료 무료,,,,,,,,"행사소개:2024 김천김밥축제에서는 김밥과 김천을 잇는 이야기에 유쾌한 긍정적 사고로의 전환과 김밥에 대한 추억, 공감, 희망 등 따뜻한 정서를 모두 느낄 수 있다. 
행사내용:1. 메인프로그램 : 김밥천국존(김천김밥쿡킹대회, 김밥 레크타임, 이혜정 요리연구가의 김천김밥레시피, 축하공연-자두, 로컬김밥·김천김밥판매)<br>
2. 부대프로그램 : 꼬달이 놀이터존(잘말아줘 댄스 챌린지, DJ 꼬달이와 랜플댄스, 꼬달이 소풍놀이, 마술버블풍선 공연)<br>
3. 참여 SNS 이벤트 : 잘말아줘 댄스 챌린지, 대한민국구석구석 김밥축제 댓글이벤트, 김밥천국 사행시 이벤트 <br>
4. 축제 당일 이벤트 : DJ와 랜플댄스 참가
",,
서울와우북페스티벌,4044.0,와우컬처랩,02-312-1581,"서울특별시 마포구 양화로 72 서교동 효성 해링턴 타워지하1층, 지하2층",37.5508549625,126.9167298722,"제 19회 서울와우북페스티벌은 현재 우리 사회의 가장 중요한 사회적 의제인 ‘돌봄’을 주제로 잡았다. 코로나 팬데믹 과정에서 적나라하게 드러난 '무관심’ 속에서 ‘돌봄’의 필요성은 더욱 커져갔다. 사실 ‘돌봄’은 팬데믹이 오기 이전부터도 오랜 기간 위기였다. 특히, 우리 사회는 가난하고 소외된 계층에게 ‘무관심’했다. 그로 인해 돌봄은 어둡고 부담스러운 단어로 인식되어 왔다. 이런 인식을 바꾸기 위해 돌봄이라는 개념을 새로운 시선으로 깊게 이해할 필요가 있다.<br>‘사람은 일생을 통해 돌봄의 필요와 능력이 달라지기는 해도 언제나 돌봄의 수혜자이자 제공자’라고 트론토가 말했듯이, 돌봄의 주체와 대상은 언제나 상호의존적일 수밖에 없다. 그렇기에 돌봄의 본질인 ‘관계성과 연결’에 초점을 맞춘 새로운 시각의 논의를 통해 돌봄의 차원을 확장시키고자 한다.<br>2005년 유엔에서 출간된 문서 ‘돌볼 줄 아는 이가 이긴다(Who Cares Wins)’처럼 서로 돌보고 연대한다면 건강하고 아름다운 새로운 사회를 만들 수 있으리라 상상해본다.",와우컬처랩,02-312-1581,,,20231005,20231008,11:00 ~22:00,서울생활문화센터,,무료,,,,,,,,"행사소개:제 19회 서울와우북페스티벌은 현재 우리 사회의 가장 중요한 사회적 의제인 ‘돌봄’을 주제로 잡았다. 코로나 팬데믹 과정에서 적나라하게 드러난 '무관심’ 속에서 ‘돌봄’의 필요성은 더욱 커져갔다. 사실 ‘돌봄’은 팬데믹이 오기 이전부터도 오랜 기간 위기였다. 특히, 우리 사회는 가난하고 소외된 계층에게 ‘무관심’했다. 그로 인해 돌봄은 어둡고 부담스러운 단어로 인식되어 왔다. 이런 인식을 바꾸기 위해 돌봄이라는 개념을 새로운 시선으로 깊게 이해할 필요가 있다.<br>‘사람은 일생을 통해 돌봄의 필요와 능력이 달라지기는 해도 언제나 돌봄의 수혜자이자 제공자’라고 트론토가 말했듯이, 돌봄의 주체와 대상은 언제나 상호의존적일 수밖에 없다. 그렇기에 돌봄의 본질인 ‘관계성과 연결’에 초점을 맞춘 새로운 시각의 논의를 통해 돌봄의 차원을 확장시키고자 한다.<br>2005년 유엔에서 출간된 문서 ‘돌볼 줄 아는 이가 이긴다(Who Cares Wins)’처럼 서로 돌보고 연대한다면 건강하고 아름다운 새로운 사회를 만들 수 있으리라 상상해본다.
행사내용:[기획위원 북토크]<br>서울와우북페스티벌 기획위원들이 함께하는 축제 소개와 주제도서 북토크<br><br>[“새로이, 돌봄” 개막]<br>축제의 시작을 알리는 축사와 개막선언 개막공연/with 아티스트 박소은<br><br>[와우스페셜]<br>‘돌봄’을 주제로 나누는 다양한 사유<br><br>[와우판타스틱서재]<br>1인출판사 릴레이 강연과 밀란 쿤데라를 사랑한 작가들의 문학이야기<br><br>[국제교류프로그램]<br>국내·해외 작가가 함께하는 이 시대 '돌봄'에 대해 교류<br>총 15개 프로그램과 도서전에서 만나는 주제도서의 향연<br><br>[와우상상만찬]<br>제 9회 상상만발책그림전 전시와 제 2회 와우 그림책 작가 원화전 / 2023.09.23 Sat - 10.08 Sun<br><br>경기도콘텐츠진흥원이 함께하는 경기도 서점·출판사 프로그램<br>쓰레기를 줄이는 작은 마음들의 플랫폼 - 알맹상점 부스 운영
",선택안함,선택안함
금당야행,36835.0,"국가유산청, 예천군",054-650-8244,경상북도 예천군 용문면 상금곡리산16-3,36.7006526496,128.4154051126,"야경(夜警), 야로(夜路), 야설(夜說), 야식(夜食), 야사(夜史), 야숙(夜宿) 등으로 이루어진 금당야행은 아름다운 금당실마을의 가을밤을 다양한 야간 프로그램을 통해 더욱 품격있게 즐길 수 있는 야행 축제이다.","국가유산청, 예천군",054-650-8244,예천문화관광재단,,20241003,20241005,16:00~21:00,예천군 용문면 금당실마을 일원,,무료,,,,,,,,"행사소개:야경(夜警), 야로(夜路), 야설(夜說), 야식(夜食), 야사(夜史), 야숙(夜宿) 등으로 이루어진 금당야행은 아름다운 금당실마을의 가을밤을 다양한 야간 프로그램을 통해 더욱 품격있게 즐길 수 있는 야행 축제이다.
행사내용:1. 야경<br>
- 전통 한복 대여, 야간경관<br><br>

 2. 야로<br>
- 스탬프투어, 트레쉬 아웃 트레킹<br><br>

3. 야설<br>
- 전통 혼례 체험, 풍류콘서트, 고택음악회<br><br>

4. 야사<br>
- 별보기체험, 꼬마해설사, 마을 전통 풍습 체험<br><br>

5. 야화<br>
- 금당실 역사 전시, 농경물품 전시, 마을 사진전<br><br>

6. 야시<br>
- 금당야시장<br><br>

7. 야식<br>
- 금당주막, 전통음식체험<br><br>

8. 야숙<br>
- 고택숙박
",선택안함,선택안함
서울비댄스페스티벌,4427.0,"서울특별시, 서울문화재단",02-758-2045,서울특별시 용산구 양녕로 445 (이촌동),37.5177178854,126.9580520415,"열정적인 브레이킹 축제로 여름의 시작을 알렸던 '서울비보이페스티벌'이 새로운 이름 '서울비댄스페스티벌(B.DANCE SEOUL)로 노들섬에 다시 돌아온다. ""당신을 춤추게 할 Beat & Bounce"" 슬로건 아래 한강 노들섬에서 브레이킹, 스트리트 댄스 배틀과 공연, 그리고 다채로운 스트리트 문화 체험 프로그램들을 모두 포함해 시민과 해외 관광객 누구나 함께 즐길 수 있는 글로벌 스트리트 컬처 페스티벌로 2일간 무료로 개최한다. 메인무대에서는 예년보다 더욱 다양한 장르로 국내외 유명 스트리트 댄서들의 멋진 공연과 뜨거운 배틀의 열기를 느낄 수 있으며 양일 모두 힙합 래퍼 공연이 이어진다. 이외에도 아티스틱 스케이트 보드 퍼포먼스, 그라피티 그리기 체험 등 각종 스트리트 문화를 체험할 수 있는 다채로운 체험부스가 낮시간부터 축제현장 곳곳에 마련되어 있다.","서울특별시, 서울문화재단",02-758-2045,,,20240607,20240608,06.07(금) 15:00~20:30 / 06.08(토) 14:00~20:30,한강 노들섬,,무료,,,,,,,,"행사소개:열정적인 브레이킹 축제로 여름의 시작을 알렸던 '서울비보이페스티벌'이 새로운 이름 '서울비댄스페스티벌(B.DANCE SEOUL)로 노들섬에 다시 돌아온다. ""당신을 춤추게 할 Beat & Bounce"" 슬로건 아래 한강 노들섬에서 브레이킹, 스트리트 댄스 배틀과 공연, 그리고 다채로운 스트리트 문화 체험 프로그램들을 모두 포함해 시민과 해외 관광객 누구나 함께 즐길 수 있는 글로벌 스트리트 컬처 페스티벌로 2일간 무료로 개최한다. 메인무대에서는 예년보다 더욱 다양한 장르로 국내외 유명 스트리트 댄서들의 멋진 공연과 뜨거운 배틀의 열기를 느낄 수 있으며 양일 모두 힙합 래퍼 공연이 이어진다. 이외에도 아티스틱 스케이트 보드 퍼포먼스, 그라피티 그리기 체험 등 각종 스트리트 문화를 체험할 수 있는 다채로운 체험부스가 낮시간부터 축제현장 곳곳에 마련되어 있다.
행사내용:1. 경연프로그램 <br>
- 인터내셔널 브레이킹 크루 배틀, 브레이킹 키즈 사이퍼, 오픈스타일 퍼포먼스 콘테스트, 오픈스타일 3on3 배틀<br><br>

2. 공연프로그램<br>
- 힙합 뮤지션 공연, 비트박스 공연, 아티스틱 스케이트 보드 퍼포먼스 공연 등<br><br>

3. 전시프로그램<br>
- 대형 그라피티 작품 전시<br><br>

4. 교육프로그램<br>
- 브레이킹 / 스트리트 댄스 원데이 클래스<br><br>

5. 체험프로그램<br>
- 스케이트 보드 체험, 케이팝 랜덤플레이댄스 등 
",선택안함,선택안함
용골 댄스 페스타,48950.0,부산광역시 중구,051-714-1497,부산광역시 중구 용두산길 37-55 (광복동2가),35.1009618294,129.0324761622,2024 용골 댄스 페스타는 부산의 중심 중구의 자원과 스토리를 활용하여 진행되는 행사이다. 춤을 좋아하고 즐기는 청소년이라면 누구나 도전할 수 있는 댄스 페스티벌로 경연 대회뿐만 아니라 다양한 이벤트도 진행되며 참가자와 관람객 모두가 춤으로 하나 되어 볼 수 있다.,부산광역시 중구,051-714-1497,,,20240616,20240616,13:00~19:00,용두산공원 일원,,무료,,,,,,,,"행사소개:2024 용골 댄스 페스타는 부산의 중심 중구의 자원과 스토리를 활용하여 진행되는 행사이다. 춤을 좋아하고 즐기는 청소년이라면 누구나 도전할 수 있는 댄스 페스티벌로 경연 대회뿐만 아니라 다양한 이벤트도 진행되며 참가자와 관람객 모두가 춤으로 하나 되어 볼 수 있다.
행사내용:1. 메인 프로그램<br>
 청소년 댄스 경연대회<br>
- 과거 비보잉의 성지 용두산공원에서 그때 그 당시의 뜨거운 분위기를 재현해 볼 수 있는 댄스 경연대회이다.<br><br>

2. 부대행사<br>
댄스 문화 엑스포<br>
- 댄스 동아리와 학원을 소개하고자 하는 사람들과 다양한 댄싱 커뮤니티를 통해 댄스를 시작하고 싶은 사람들이 하나가 될 수 있는 프로그램이다. <br><br>

3. 이벤트 프로그램<br>
- 관람객 누구나 참가 가능한 랜덤 플레이댄스를 통해 함께 방문한 친구, 연인, 가족들과 몸과 마음이 즐거운 추억을 만들수 있는 다양한 이벤트가 준비되어 있다. 	

",선택안함,선택안함
문화 올데이 연수!,21967.0,재단법인 연수문화재단,070-4169-6463 <br>032-822-1000,인천광역시 연수구 원인재로 115 (동춘동),37.4091949621,126.6783277871,"생활문화동아리의 활동으로 쌓아온 역량을 펼치고, 관람객들에게 좋아하는 취미, 취향을 공유하고 나누는 야외 축제이다. '팀퍼니스트'의 서커스 코미디 음악쇼, 다양한 장르의 동아리 공연, 공예, 업사이클링, 전통 교육 및 놀이, 풍선아트, 퍼스널컬러 체험 등을 즐길 수 있다.",재단법인 연수문화재단,070-4169-6463 <br>032-822-1000,,,20240601,20240601,11:00~16:00,연수구청 한마음광장,,무료,,,,,,,,"행사소개:생활문화동아리의 활동으로 쌓아온 역량을 펼치고, 관람객들에게 좋아하는 취미, 취향을 공유하고 나누는 야외 축제이다. '팀퍼니스트'의 서커스 코미디 음악쇼, 다양한 장르의 동아리 공연, 공예, 업사이클링, 전통 교육 및 놀이, 풍선아트, 퍼스널컬러 체험 등을 즐길 수 있다.
행사내용:1.공연 프로그램 <br>
- 서커스 코미디 음악쇼 '팀퍼니스트', 다양한 장르의 생활문화동아리 공연  <br> <br>

2. 체험 프로그램  <br>
- 비즈 팔찌, 티매트, 키링 만들기 등 공예 체험, 풍선 아트, 판다 오뚜기 만들기, 전통 놀이 등 체험 및 놀이 컨텐츠 <br> <br>

3.  현장에서 즐기는 AR 포토 카드 만들기 등 현장 참여 이벤트 등 	

",선택안함,선택안함
